id	title	author	authorYearOfBirth	authorYearOfDeath	publishedYear	tokensCount
PG31434	Η Βαβυλωνία ή η κατά τόπους διαφθορά της ελληνικής γλώσσης: Κωμωδία εις πέντε πράξεις	Vyzantios, D. K. (Demetrios Konstantinou)	1790	1853	1876	21955.0
PG31435	Ιφιγένεια εν Ταύροις: Δράμα σε πράξεις πέντε	Goethe, Johann Wolfgang von	1749	1832	1916	18353.0
PG31436	Φίληβος	Plato	-428	-348	1911	27492.0
PG31437	Υπεράνθρωπος: Διήγημα	Chatzopoulos, Kostantinos	1868	1920	1915	44700.0
PG31438	Ο Βασιλιάς Ανήλιαγος	Polemes, Ioannes	1862	1924	1893	15792.0
PG31442	Γραφτή και Δημοτική και το Γλωσσικό Ζήτημα στην Ελλάδα	Brugman, Karl	1849	1919	1907	9905.0
PG31443	Ο Σινάνης: Κωμωδία εις πέντε πράξεις	Vyzantios, D. K. (Demetrios Konstantinou)	1790	1853	1838	34532.0
PG31444	Παλιές Αγάπες	Karkavitsas, Andreas	1866	1922	1919	36985.0
PG31445	Διηγήματα του Γυλιού	Karkavitsas, Andreas	1866	1922	1922	34405.0
PG31446	Διηγήματα	Karkavitsas, Andreas	1866	1922	1892	63094.0
PG31450	Παραμύθια Δανικά, εκ των του Ανδερσεν	Andersen, H. C. (Hans Christian)	1805	1875	1840	16132.0
PG31562	Το Ταξείδι μου	Psicharis, Ioannis	1854	1929	1886	74076.0
PG31631	Ο αρχαιολόγος	Karkavitsas, Andreas	1866	1922	1904	55368.0
PG31653	Πασχαλινές ιστορίες	Papadiamantes, Alexandros	1851	1911	1912	24168.0
PG31669	Ιλιάδος Ραψωδία Α: Μεταφρασθείσα εις δημοτικούς στίχους	Homer	-750	-650	-1	7408.0
PG31797	Αμλέτος	Shakespeare, William	1564	1616	-1	71042.0
PG31802	Η Νέα Διαθήκη : κατά το Βατικανό Χειρόγραφο		0	0	1902	93110.0
PG31808	Σαικσπείρου Τραγωδίαι : Μέρος Α'. Ρωμαίος και Ιουλιέτα	Shakespeare, William	1564	1616	1876	41762.0
PG31852	Ποιήματα και Πεζά τινα	Velaras, Ioannes	1771	1823	1820	38320.0
PG31853	Ποιήματα, Τόμος Δεύτερος, Ανέκδοτα	Souris, Georgios	1853	1919	1892	11763.0
PG31854	Λόγοι Φιλιππικοί Θεοδώρου : Δεληγιάννη Απαγγελθέντες εντός και εκτός του Συνδερίου Εμμέτρως δε Διασκευασθέντες	Souris, Georgios	1853	1919	1878	5072.0
PG31865	Λόγια της Πλώρης: Θαλασσινά Διηγήματα	Karkavitsas, Andreas	1866	1922	1899	69720.0
PG32179	Η βοσκοπούλα με τα μαργαριτάρια και άλλες μικρές ιστορίες	Nirvanas, Paulos	1866	1937	1914	28009.0
PG32211	Η Φωτεινή - Ο μαγευμένος εργαλειός - Η καλή Νεράιδα	Papadopoulou, Arsinoe	1853	1943	1917	9585.0
PG32214	Αργία : διήγημα	Faltaits, Kostas	1891	1944	1920	12653.0
PG32215	Ιστορία της Ρωμιοσύνης, Πρώτος τόμος	Eftaliotis, Argyris	1849	1923	1901	120289.0
PG32304	Η αγάπη (Τριλογία)	Christovasilis, Christos	1861	1937	1906	18913.0
PG32305	Σαικσπήρου Δράματα, Ο Βασιλιάς Ληρ	Shakespeare, William	1564	1616	1914	43584.0
PG32386	Το συναξάρι του Παπά-Παρθένη κι' άλλες νησιώτικες ιστορίες	Nirvanas, Paulos	1866	1937	1915	50995.0
PG32529	Διηγήματα	Rhoides, Emmanouel D.	1835	1904	1911	58227.0
PG32549	Declaration of Faith, in Latin and the Original Greek	Athanasius, Saint, Patriarch of Alexandria	0	373	-1	4075.0
PG32660	Τα Γεωργικά	Virgil	-70	-19	1909	26468.0
PG32666	Ιδανικός σύζυγος: Δράμα εις τέσσαρας πράξεις	Wilde, Oscar	1854	1900	1917	64481.0
PG32729	Ντόπιες Ζωγραφιές	Chatzopoulos, D.	1872	1936	1896	30313.0
PG32740	Πεζογραφήματα	Krystalles, Kostas	1868	1894	1894	23855.0
PG32741	Ποιήματα - Τόμος Πέμπτος - Φασουλής Φιλόσοφος	Souris, Georgios	1853	1919	1891	14554.0
PG32796	Αι δύο διαθήκαι	Demetrakopoulos, Polyvios	1864	1922	1901	31191.0
PG32797	Οθέλλος: Σαικσπείρου Τραγωδίαι Μέρος Β'	Shakespeare, William	1564	1616	1876	41947.0
PG32799	Διηγήματα της ξενιτειάς	Christovasilis, Christos	1861	1937	1907	34278.0
PG32815	Ενώ διέβαινα - Χρονογραφήματα	Kondylakes, Ioannes	1861	1920	1916	25043.0
PG32851	Μοσκιές - Διηγήματα	Pasagiannes, Kostes G.	1872	1933	1898	28805.0
PG32852	Αθανάσης Διάκος - Αστραπόγιαννος	Valaorites, Aristoteles	1824	1879	1867	45547.0
PG33351	Ο Γεροστάθης; ή Αναμνήσεις της παιδικής μου ηλικίας	Melas, Leon	1812	1879	1892	34551.0
PG33354	Η χολεριασμένη: Τα μετά θάνατον	Papadiamantes, Alexandros	1851	1911	1915	51077.0
PG33395	Η νοσταλγός	Papadiamantes, Alexandros	1851	1911	1912	44070.0
PG33396	Ο Βίος του Χριστού	Farrar, F. W. (Frederic William)	1831	1903	1898	182770.0
PG33442	Ο Αρχοντοχωριάτης	Molière	1622	1673	-1	19437.0
PG33561	Το βιβλίο του μικρού αδερφού: Μυθιστόρημα ενός Γάμου	Geijerstam, Gustaf af	1858	1909	1915	52269.0
PG33577	Η μαζώχτρα κι άλλες ιστορίες: Ο Βουρκόλακας - Δράμα	Eftaliotis, Argyris	1849	1923	1900	56738.0
PG33709	Διηγήματα	Vikelas, Demetrios	1835	1908	1897	58273.0
PG33961	Αντώνιος και Κλεοπάτρα: Τραγωδία εις πράξεις 5	Shakespeare, William	1564	1616	1911	37230.0
PG34095	Ιστορία των Εθνικών Δανείων: Μέρος Α' - Τα δάνεια της ανεξαρτησίας (1824-1825) - Το Δημόσιον Χρέος επί της Βαυαρικής Δυναστείας	Andreadis, Andreas	1876	1935	1904	52656.0
PG34118	Φυλλάδες του Γεροδήμου	Eftaliotis, Argyris	1849	1923	1897	57969.0
PG34132	Όταν σπάση τα δεσμά του: Δράμα σε μέρη τρία	Nirvanas, Paulos	1866	1937	1910	21266.0
PG34133	Ποίος ήτον ο φονεύς του αδελφού μου	Vizyenos, G. M. (Georgios M.)	1849	1896	1873	35810.0
